classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
60593068,joannesheppard,1663834,242ddf31991bae7e856c,4351,Images (Part I),6.10,2017-06-20 15:40:56 UTC,,,"{""session"":""343b85cad2b998f5b0e7c490a6a06f9b26691d4592c05a67f3de0ca96ec9f1c5"",""viewport"":{""width"":902,""height"":645},""started_at"":""2017-06-20T15:40:50.989Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2017-06-20T15:40:56.157Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":289,""clientHeight"":231,""naturalWidth"":449,""naturalHeight"":359}]}","[{""task"":""T1"",""value"":""test"",""task_label"":""Describe what is in the graphic.""}]","{""10535484"":{""retired"":null,""Filename"":""Eye1.jpg""}}",10535484
60593304,joannesheppard,1663834,242ddf31991bae7e856c,4351,Images (Part I),6.10,2017-06-20 15:42:19 UTC,,,"{""session"":""d9c864e877dfe358fd1efe7a5471830a1c6f66dd58079b984b23168ba400bd83"",""viewport"":{""width"":902,""height"":645},""started_at"":""2017-06-20T15:42:13.272Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2017-06-20T15:42:19.696Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":289,""clientHeight"":212,""naturalWidth"":533,""naturalHeight"":391}]}","[{""task"":""T1"",""value"":""test"",""task_label"":""Describe what is in the graphic.""}]","{""10535482"":{""retired"":null,""Filename"":""AT1.jpg""}}",10535482
60594261,joannesheppard,1663834,242ddf31991bae7e856c,4351,Images (Part I),6.10,2017-06-20 15:47:38 UTC,,,"{""session"":""1bb3c7e2feb50edb60a8ef072a31b87d19d6b8bc7f6eefff3ef182ed39363c42"",""viewport"":{""width"":902,""height"":645},""started_at"":""2017-06-20T15:47:33.788Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2017-06-20T15:47:38.035Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":289,""clientHeight"":249,""naturalWidth"":604,""naturalHeight"":520}]}","[{""task"":""T1"",""value"":""test"",""task_label"":""Describe what is in the graphic.""}]","{""10535493"":{""retired"":null,""Filename"":""CE1.jpg""}}",10535493
60594284,joannesheppard,1663834,242ddf31991bae7e856c,4351,Images (Part I),6.10,2017-06-20 15:47:44 UTC,,,"{""session"":""1bb3c7e2feb50edb60a8ef072a31b87d19d6b8bc7f6eefff3ef182ed39363c42"",""viewport"":{""width"":902,""height"":645},""started_at"":""2017-06-20T15:47:39.002Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2017-06-20T15:47:44.231Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":289,""clientHeight"":231,""naturalWidth"":449,""naturalHeight"":359}]}","[{""task"":""T1"",""value"":""test"",""task_label"":""Describe what is in the graphic.""}]","{""10535494"":{""retired"":null,""Filename"":""Eye1.jpg""}}",10535494
60594298,joannesheppard,1663834,242ddf31991bae7e856c,4351,Images (Part I),6.10,2017-06-20 15:47:47 UTC,,,"{""session"":""1bb3c7e2feb50edb60a8ef072a31b87d19d6b8bc7f6eefff3ef182ed39363c42"",""viewport"":{""width"":902,""height"":645},""started_at"":""2017-06-20T15:47:45.111Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2017-06-20T15:47:47.557Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":289,""clientHeight"":201,""naturalWidth"":542,""naturalHeight"":377}]}","[{""task"":""T1"",""value"":""test"",""task_label"":""Describe what is in the graphic.""}]","{""10535500"":{""retired"":null,""Filename"":""VT1.jpg""}}",10535500
60594313,joannesheppard,1663834,242ddf31991bae7e856c,4351,Images (Part I),6.10,2017-06-20 15:47:51 UTC,,,"{""session"":""1bb3c7e2feb50edb60a8ef072a31b87d19d6b8bc7f6eefff3ef182ed39363c42"",""viewport"":{""width"":902,""height"":645},""started_at"":""2017-06-20T15:47:48.267Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2017-06-20T15:47:51.706Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":289,""clientHeight"":218,""naturalWidth"":520,""naturalHeight"":391}]}","[{""task"":""T1"",""value"":""test"",""task_label"":""Describe what is in the graphic.""}]","{""10535497"":{""retired"":null,""Filename"":""NASA.jpg""}}",10535497
60594328,joannesheppard,1663834,242ddf31991bae7e856c,4351,Images (Part I),6.10,2017-06-20 15:47:56 UTC,,,"{""session"":""1bb3c7e2feb50edb60a8ef072a31b87d19d6b8bc7f6eefff3ef182ed39363c42"",""viewport"":{""width"":902,""height"":645},""started_at"":""2017-06-20T15:47:52.475Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2017-06-20T15:47:56.241Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":289,""clientHeight"":434,""naturalWidth"":400,""naturalHeight"":600}]}","[{""task"":""T1"",""value"":""test"",""task_label"":""Describe what is in the graphic.""}]","{""10535496"":{""retired"":null,""Filename"":""HeatEngine.jpg""}}",10535496
60594344,joannesheppard,1663834,242ddf31991bae7e856c,4351,Images (Part I),6.10,2017-06-20 15:48:00 UTC,,,"{""session"":""1bb3c7e2feb50edb60a8ef072a31b87d19d6b8bc7f6eefff3ef182ed39363c42"",""viewport"":{""width"":902,""height"":645},""started_at"":""2017-06-20T15:47:57.193Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2017-06-20T15:48:00.304Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":289,""clientHeight"":386,""naturalWidth"":300,""naturalHeight"":400}]}","[{""task"":""T1"",""value"":""test"",""task_label"":""Describe what is in the graphic.""}]","{""10535498"":{""retired"":null,""Filename"":""Pdecay.jpg""}}",10535498
60594357,joannesheppard,1663834,242ddf31991bae7e856c,4351,Images (Part I),6.10,2017-06-20 15:48:03 UTC,,,"{""session"":""1bb3c7e2feb50edb60a8ef072a31b87d19d6b8bc7f6eefff3ef182ed39363c42"",""viewport"":{""width"":902,""height"":645},""started_at"":""2017-06-20T15:48:01.102Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2017-06-20T15:48:03.478Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":289,""clientHeight"":210,""naturalWidth"":544,""naturalHeight"":394}]}","[{""task"":""T1"",""value"":""test"",""task_label"":""Describe what is in the graphic.""}]","{""10535499"":{""retired"":null,""Filename"":""Stirling Engine.jpg""}}",10535499
60594371,joannesheppard,1663834,242ddf31991bae7e856c,4351,Images (Part I),6.10,2017-06-20 15:48:07 UTC,,,"{""session"":""1bb3c7e2feb50edb60a8ef072a31b87d19d6b8bc7f6eefff3ef182ed39363c42"",""viewport"":{""width"":902,""height"":645},""started_at"":""2017-06-20T15:48:04.252Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2017-06-20T15:48:07.020Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":289,""clientHeight"":289,""naturalWidth"":800,""naturalHeight"":800}]}","[{""task"":""T1"",""value"":""test"",""task_label"":""Describe what is in the graphic.""}]","{""10535495"":{""retired"":null,""Filename"":""Graphene.jpg""}}",10535495
60594382,joannesheppard,1663834,242ddf31991bae7e856c,4351,Images (Part I),6.10,2017-06-20 15:48:09 UTC,,,"{""session"":""1bb3c7e2feb50edb60a8ef072a31b87d19d6b8bc7f6eefff3ef182ed39363c42"",""viewport"":{""width"":902,""height"":645},""started_at"":""2017-06-20T15:48:07.729Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2017-06-20T15:48:09.645Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":286,""clientHeight"":205,""naturalWidth"":286,""naturalHeight"":205}]}","[{""task"":""T1"",""value"":""test"",""task_label"":""Describe what is in the graphic.""}]","{""10535491"":{""retired"":null,""Filename"":""1.jpg""}}",10535491
60594399,joannesheppard,1663834,242ddf31991bae7e856c,4351,Images (Part I),6.10,2017-06-20 15:48:13 UTC,,,"{""session"":""1bb3c7e2feb50edb60a8ef072a31b87d19d6b8bc7f6eefff3ef182ed39363c42"",""viewport"":{""width"":902,""height"":645},""started_at"":""2017-06-20T15:48:10.375Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2017-06-20T15:48:12.718Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":289,""clientHeight"":212,""naturalWidth"":533,""naturalHeight"":391}]}","[{""task"":""T1"",""value"":""test"",""task_label"":""Describe what is in the graphic.""}]","{""10535492"":{""retired"":null,""Filename"":""AT1.jpg""}}",10535492
60955216,not-logged-in-3ee7c8d719ad02279daa,,3ee7c8d719ad02279daa,4351,Images (Part I),6.13,2017-06-22 17:39:33 UTC,,,"{""session"":""da3f5747c82426e8c5939bb0149bc687a58779352ff5180992702cde3003c269"",""viewport"":{""width"":1366,""height"":638},""started_at"":""2017-06-22T17:36:03.137Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2017-06-22T17:39:27.935Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":574,""clientHeight"":574,""naturalWidth"":800,""naturalHeight"":800}]}","[{""task"":""T1"",""value"":""Image shows the representative structure of a chemical system.\nThe main body of the structure appears to be a hexagonal Carbon arrangement, much like graphene. Howver, there are a number of additional functional groups attached at various points.\n\nAt the top left and bottom right, there are Carboxyl groups (COOH), and at the top right, top middle (5 atoms from the top left Carboxyl group), and bottom middle (9 atoms from the bottom right Carboxyl group), there are alcohol groups (OH)\n\nThe caption says: Representative structure only: not true identity."",""task_label"":""Describe the contents of the image""}]","{""10535495"":{""retired"":null,""Filename"":""Graphene.jpg""}}",10535495
60955956,not-logged-in-3ee7c8d719ad02279daa,,3ee7c8d719ad02279daa,4351,Images (Part I),6.13,2017-06-22 17:46:07 UTC,,,"{""session"":""da3f5747c82426e8c5939bb0149bc687a58779352ff5180992702cde3003c269"",""viewport"":{""width"":1366,""height"":638},""started_at"":""2017-06-22T17:39:30.694Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2017-06-22T17:46:02.592Z"",""live_project"":true,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":533,""clientHeight"":391,""naturalWidth"":533,""naturalHeight"":391}]}","[{""task"":""T1"",""value"":""The image shows a bar chart. The chart title is \""Average Temperature in London Per Month\"". The x-axis label is \""Month\"". The y-axis label is \""Temperature (degrees C)\"".\n\nThe x-axis ticks and labels correspond to the Months of the year.\nThe y-axis ranges from 0 to 20 in increments of 1 (20 does not have a label, but is the top line on the graph).\n\nThe bars are positioned as follows:\nJan - 6 deg C\nFeb - 6 deg C\nMar - 8 deg C\nApr - 10 deg C\nMay - 13 deg C\nJun - 16 deg C\nJul - 18.5 deg C\nAug - 18.5 deg C\nSep - 16 deg C\nOct - 12.5 deg C\nNov - 9 deg C\nDec - 7 deg C"",""task_label"":""Describe the contents of the image""}]","{""10535492"":{""retired"":null,""Filename"":""AT1.jpg""}}",10535492
